Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
SV PAVA HHZ --,1.2408,330.042,Pn,2026-03-15T05:01:02.210Z,manual,0.22,1.09
SV NUBE HHZ --,1.9157,311.378,Pn,2026-03-15T05:01:10.680Z,manual,-0.49,0.95
SV PACA HHZ --,0.8319,358.412,Pn,2026-03-15T05:00:57.140Z,manual,0.54,1.19
OV VRBA HHZ --,3.4001,120.769,Pn,2026-03-15T05:01:30.650Z,manual,-0.75,0.85
II JTS BHZ 00,4.0225,125.004,Pn,2026-03-15T05:01:40.660Z,manual,0.78,0.91
G HDC BHZ 00,4.8687,122.048,Pn,2026-03-15T05:01:51.700Z,manual,0.07,0.98
TC DRK0 HHZ --,5.987,123.511,Pn,2026-03-15T05:02:08.250Z,manual,1.26,0
IU TEIG BHZ 00,7.5513,0.1672,Pn,2026-03-15T05:02:30.990Z,manual,2.76,0
TC LCR2 HHZ --,5.0996,123.857,Pn,2026-03-15T05:01:56.210Z,manual,1.35,0
CU BCIP BHZ 00,8.9955,111.672,Pn,2026-03-15T05:02:48.000Z,manual,-0.04,0
CU MTDJ BHZ 00,11.7725,60.4728,Pn,2026-03-15T05:03:28.550Z,manual,2.44,0
OX PRED HHZ --,88.9575,42.5977,P,2026-03-15T05:13:25.880Z,automatic,-3.76,0.93
OX CIMO HHZ --,88.2528,42.9472,P,2026-03-15T05:13:26.770Z,automatic,0.48,0.95
G ECH BHZ 00,84.2926,41.9969,P,2026-03-15T05:13:05.220Z,automatic,-1.55,1.06
II ESK BHZ 00,76.9378,35.779,P,2026-03-15T05:12:25.390Z,manual,-1.81,1.1
GE SUMG BHZ 10,66.6162,14.5288,P,2026-03-15T05:11:24.110Z,manual,-1.33,1.07
AK L19K BHZ --,68.0315,332.348,P,2026-03-15T05:11:33.140Z,manual,-1,1.08
II KDAK BHZ 00,65.7712,328.045,P,2026-03-15T05:11:19.570Z,automatic,-0.2,1.07
IU COLA BHZ 00,65.944,336.226,P,2026-03-15T05:11:19.700Z,manual,-1.05,1.07
